Nummer;Reservationsnummer;Reservation von;Reservation bis;Standort;Ziel-Standort;Kategorie;Fahrzeugnummer;Kilometer total;Kosten Total;Reservationsbemerkung;Kostenstelle;Selbstbehalt 300
58;33122868;27.08.2024 16:30;27.08.2024 21:30;Thun Bahnhof;;Budget;270;10;18.45;;;0
59;33163812;26.08.2024 13:00;26.08.2024 17:00;Spiez Bahnhof;;Budget;34056;16;19.72;;;0
60;33083326;09.08.2024 16:00;09.08.2024 22:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;50.19;;;0
61;32824160;04.06.2024 18:00;04.06.2024 21:30;Neuchâtel Oriette;;Economy;36354;40;74.24;;;0
62;32722322;09.05.2024 05:00;09.05.2024 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;58;69.21;;;0
63;32643185;21.04.2024 09:30;21.04.2024 15:30;Sarnen Bahnhof;;Economy Electro;35261;43;49.55;;;0
64;32455637;09.03.2024 07:00;09.03.2024 13:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;46.98;;;0
65;32455633;07.03.2024 06:00;07.03.2024 14:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;23;42.51;;;0
66;32425895;28.02.2024 07:00;28.02.2024 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;39.48;;;0
67;32362883;13.02.2024 07:00;13.02.2024 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;0;44.25;;;0
68;32336991;06.02.2024 07:00;06.02.2024 14:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;43;58.41;;;0
69;32235330;14.01.2024 07:00;14.01.2024 14:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;23;42.51;;;0
70;32216981;12.01.2024 07:00;12.01.2024 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;22;35.64;;;0
71;32216972;07.01.2024 09:30;07.01.2024 14:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;22;37.89;;;0
72;32206591;05.01.2024 06:00;05.01.2024 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;32;47.34;;;0
73;32185263;29.12.2023 06:00;29.12.2023 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;35.73;;;0
74;32097229;10.12.2023 06:00;10.12.2023 09:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;0;33;;;0
75;32051878;27.11.2023 23:00;28.11.2023 07:30;Kerzers Bahnhof;;Combi;41157;27;39.24;;;0
76;32004610;17.11.2023 09:00;17.11.2023 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;4;6.48;;;0
77;31973824;10.11.2023 09:00;10.11.2023 10:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;6;10.47;;;0
78;31763852;22.09.2023 08:00;22.09.2023 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;31.23;;;0
79;31621698;20.08.2023 10:00;20.08.2023 15:00;Luzern Bahnhof;;Budget;36390;12;19.44;;;0
80;31271245;26.05.2023 10:30;26.05.2023 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;17;20.04;;;0
81;31227828;17.05.2023 18:00;18.05.2023 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;74.94;;;0
82;31174484;04.05.2023 05:00;04.05.2023 14:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;63;80.31;;;0
83;30944727;11.03.2023 10:00;11.03.2023 11:00;Luzern Bahnhof;;Budget;36390;8;7.96;;;0
84;30901185;03.03.2023 10:00;03.03.2023 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;25;41.25;;;0
85;30850439;17.02.2023 08:00;17.02.2023 13:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;48;58.26;;;0
86;30844648;16.02.2023 08:00;16.02.2023 11:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;35.73;;;0
87;30807395;06.02.2023 13:00;06.02.2023 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;34;40.83;;;0
88;30796844;03.02.2023 13:00;03.02.2023 17:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;31;40.47;;;0
89;30774112;30.01.2023 12:00;30.01.2023 17:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;40.23;;;0
90;30768736;28.01.2023 16:30;28.01.2023 22:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;35;50.7;;;0
91;30672287;07.01.2023 09:00;07.01.2023 14:30;Luzern Bahnhof;;Budget;31021;30;31.1;;;0
